Filename,Detected Frequency (Hz),Detected MIDI Note,Detected Note Name,Declared MIDI Note,Match?
038_D2_loop.wav,73.08,38,D2,38,Yes
042_F#2_loop.wav,91.99,42,F#2,42,Yes
046_A#2_loop.wav,116.88,46,A#2,46,Yes
050_D3_loop.wav,735.28,78,F#5,50,No
054_F#3_loop.wav,92.05,42,F#2,54,No
058_A#3_loop.wav,116.18,46,A#2,58,No
062_D4_loop.wav,293.40,62,D4,62,Yes
066_F#4_loop.wav,184.65,54,F#3,66,No
070_A#4_loop.wav,233.19,58,A#3,70,No
074_D5_loop.wav,293.50,62,D4,74,No
078_F#5_loop.wav,369.82,66,F#4,78,No
082_A#5_loop.wav,466.53,70,A#4,82,No
086_D6_loop.wav,588.76,74,D5,86,No
090_F#6_loop.wav,741.84,78,F#5,90,No
096_C7_loop.wav,1048.19,84,C6,96,No
102_F#7_loop.wav,1482.92,90,F#6,102,No
106_A#7_loop.wav,1870.62,94,A#6,106,No
111_D#8_loop.wav,2511.95,99,D#7,111,No
128_G#9_loop.wav,3364.30,104,G#7,128,No
132_C10_loop.wav,186.86,54,F#3,132,No
